Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2026 through September 30, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q26 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J1450,Fluconazole,200 MG,6.105,20.000,,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.123,20.000,,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,503.848,20.000,,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,8.355,20.000,,,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,0.036,20.000,,,,,,,,
J1458,Galsulfase injection,1 MG,525.967,19.458,,,,,,Inflation-adjusted coinsurance,,
J1459,Inj ivig privigen 500 mg,500 MG,51.218,20.000,,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,48.874,20.000,,,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.030,20.000,,,,,,,,
J1552,"Inj, alyglo, 500 mg",500 MG,121.544,20.000,,,,,,,,
J1553,Inj yimmugo 100 mg,100 MG,24.145,20.000,,,,,,,,
J1554,Inj. asceniv,500 MG,509.139,20.000,,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,18.147,19.472,,,,,,Inflation-adjusted coinsurance,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,81.241,20.000,,,,,,,,
J1557,Gammaplex injection,500 MG,66.272,20.000,,,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,15.243,20.000,,,,,,,,
J1559,Hizentra injection,100 MG,14.883,18.769,,,,,,Inflation-adjusted coinsurance,,
J1560,Gamma globulin > 10 cc inj,10 CC,162.519,20.000,,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,49.014,20.000,,,,,,,,
J1566,"Immune globulin, powder",500 MG,80.961,20.000,,,,,,,,
J1568,Octagam injection,500 MG,47.056,20.000,,,,,,,,
J1569,Gammagard liquid injection,500 MG,49.303,20.000,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,31.464,20.000,,,,,,,,
J1571,Hepagam b im injection,0.5 ML,65.610,20.000,,,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,65.610,20.000,,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,18.347,20.000,,,,,,,,
J1576,"Inj, panzyga, 500 mg",500 MG,71.346,19.247,,,,,,Inflation-adjusted coinsurance,,
J1580,Garamycin gentamicin inj,80 MG,1.925,20.000,,,,,,,,
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.365,20.000,,,,,,,,
J1597,"Inj glycopyrrolate, glyrx-pf",0.1 MG,1.317,20.000,,,,,,,,
J1598,Inj glycopyrrolate fres kabi,0.1 MG,1.342,20.000,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,11.035,20.000,,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,117.331,20.000,,,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,129.281,20.000,,,,,,,,
J1612,Inj glucagon (gvoke) 0.01 mg,0.01 MG,1.799,20.000,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.199,20.000,,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,3.217,20.000,,,,,,,,
J1628,"Inj., guselkumab, 1 mg",1 MG,66.920,20.000,,,,,,,,
J1630,Haloperidol injection,5 MG,0.746,20.000,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,5.291,20.000,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,35.821,18.358,,,,,,Inflation-adjusted coinsurance,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.018,20.000,,,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,1.711,20.000,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.199,20.000,,,,,,,,
J1645,Dalteparin sodium,2500 IU,48.413,4.433,,,,,,Inflation-adjusted coinsurance,,
J1650,Inj enoxaparin sodium,10 MG,0.536,20.000,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,0.925,20.000,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,595.017,20.000,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,23.056,20.000,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,45.154,20.000,,,,,,,,
J1741,Ibuprofen injection,100 MG,3.252,19.049,,,,,,Inflation-adjusted coinsurance,,
J1743,Idursulfase injection,1 MG,570.043,20.000,,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,31.479,20.000,,,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,79.512,20.000,,,,,,,,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,65.728,20.000,,,,,,,,
J1749,"Inj, iloprost, 0.1 mcg",0.1 MCG,5.651,20.000,,,,,,,,
J1750,Inj iron dextran,50 MG,18.993,20.000,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.227,20.000,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,43.326,20.000,,,,,,,,
J1790,Droperidol injection,up to 5 MG,8.124,20.000,,,,,,,,
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.230,20.000,,,,,,,,
J1806,Inj esmolol hcl wg crit care,10 MG,0.196,20.000,,,,,,,,
J1808,"Inj, folic acid, 0.1 mg",0.1 MG,0.051,20.000,,,,,,,,
J1809,"Inj, fosdenopterin, 0.1mg",0.1 MG,17.736,20.000,,,,,,,,
J1811,Fiasp for insulin pump use,50 UNITS,1.727,20.000,,,,,,,,
J1813,Lyumjev for insulin pump use,50 UNITS,4.802,20.000,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,3.062,20.000,,,,,,,,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,510.652,20.000,,,,,,,,
J1836,"Inj, metronidazole, 10 mg",10 MG,0.033,20.000,,,,,,,,
J1837,"Inj, posaconazole, 1 mg",1 MG,0.342,20.000,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.286,20.000,,,,,,,,
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.218,20.000,,,,,,,,
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,0.906,20.000,,,,,,,,
J1930,Lanreotide injection,1 MG,37.428,20.000,,,,,,,,
J1931,Laronidase injection,0.1 MG,41.487,20.000,,,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,20.330,20.000,,,,,,,,
J1938,"Inj, furosemide, 1 mg",1 MG,0.018,20.000,,,,,,,,
J1939,"Inj, bumetanide, 0.5 mg",0.5 MG,0.498,20.000,,,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,3.461,20.000,,,,,,,,
J1944,Aripiprazole lauroxil 1 mg,1 MG,3.557,20.000,,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1841.261,17.659,,,,,,Inflation-adjusted coinsurance,,
J1951,Inj fensolvi 0.25 mg,0.25 MG,145.311,20.000,,,,,,,,
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,42.059,20.000,,,,,,AMP-based payment limit,,
J1953,Levetiracetam injection,10 MG,0.032,20.000,,,,,,,,
J1954,Inj leu acet lutr dpt 7.5 mg,7.5 MG,687.287,13.461,,,,,,Inflation-adjusted coinsurance,,
J1955,Inj levocarnitine per 1 gm,1 GM,22.607,20.000,,,,,,,,
J1956,Levofloxacin injection,250 MG,1.909,20.000,,,,,,,,
J1961,Inj lenacapavir (hiv tx) 1mg,1 MG,22.936,20.000,,,,,,,,
J2002,"Inj, lidocaine in d5w, 1 mg",1 MG,0.003,20.000,,,,,,,,
J2010,Lincomycin injection,300 MG,4.234,20.000,,,,,,,,
J2020,Linezolid injection,200 MG,2.268,20.000,,,,,,,,
J2021,"Inj, linezolid (hospira)",200 MG,34.175,20.000,,,,,,,,
J2060,Lorazepam injection,2 MG,2.302,20.000,,,,,,,,
J2151,"Inj, mannitol, 250 mg",250 MG,0.071,20.000,,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,6.339,20.000,,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,32.281,20.000,,,,,,,,
J2183,Inj meropenem (wg crit care),100 MG,1.408,20.000,,,,,,,,
J2184,"Inj, meropenem (b. braun)",100 MG,1.867,10.909,,,,,,Inflation-adjusted coinsurance,,
J2185,Meropenem,100 MG,0.325,20.000,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,21.552,20.000,,,,,,,,
J2246,"Inj, micafungin (baxter)",1 MG,0.448,20.000,,,,,,,,
J2247,"Inj, micafungin (par pharm)",1 MG,0.219,20.000,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.180,20.000,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.143,20.000,,,,,,,,
J2251,Inj midazolam in 0.9% nacl,1 MG,0.117,20.000,,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.098,20.000,,,,,,,,
J2267,"Inj, mirikizumab-mrkz, 1 mg",1 MG,32.658,20.000,,,,,,"""lesser of"" methodology applied",,
J2270,Morphine sulfate injection,10 MG,8.087,20.000,,,,,,,,
J2272,"Inj, morphine (fresenius)",10 MG,8.455,20.000,,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,18.914,20.000,,,,,,,,
J2277,"Inj, motixafortide, 0.25 mg",0.25 MG,26.479,20.000,,,,,,,,
J2278,Ziconotide injection,1 MCG,10.793,19.949,,,,,,Inflation-adjusted coinsurance,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,8.744,20.000,,,,,,,,
J2281,Inj moxifloxacin (fres kabi),100 MG,6.641,20.000,,,,,,,,
J2290,"Inj, nafcillin sodium, 20 mg",20 MG,0.047,20.000,,,,,,,,
J2291,"Inj, nafcillin (baxter) 20mg",20 MG,0.148,20.000,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,4.287,20.000,,,,,,,,
J2305,"Inj, nitroglycerin, 5 mg",5 MG,1.557,20.000,,,,,,,,
J2312,"Inj naloxone hcl nos, 0.01mg",0.01 MG,0.069,20.000,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,4.525,18.883,,,,,,Inflation-adjusted coinsurance,,
J2323,Natalizumab injection,1 MG,24.406,20.000,,,,,,,,
J2327,Inj risankizumab-rzaa 1 mg,1 MG,14.531,20.000,,,,,,,,
J2329,"Inj ublituximab-xiiy, 1 mg",1 MG,72.239,19.911,,,,,,Inflation-adjusted coinsurance,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,60.970,20.000,,,,,,,,
J2351,Inj ocrelizumab 1mg hya-ocsq,1 MG,48.060,19.376,,,,,,Inflation-adjusted coinsurance,,
J2353,"Octreotide injection, depot",1 MG,208.095,20.000,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.596,20.000,,,,,,,,
J2356,"Inj tezepelumab-ekko, 1mg",1 MG,17.920,20.000,,,,,,"""lesser of"" methodology applied",,
J2357,Omalizumab injection,5 MG,46.588,20.000,,,,,,"""lesser of"" methodology applied",,
J2358,Olanzapine long-acting inj,1 MG,3.199,20.000,,,,,,,,
J2359,"Inj. olanzapine, 0.5mg",0.5 MG,0.693,20.000,,,,,,,,
J2360,Orphenadrine injection,60 MG,7.777,20.000,,,,,,,,
J2371,Inj phenylephrine hcl 20 mcg,20 MCG,0.002,20.000,,,,,,,,
J2372,"Inj, biorphen, 20 micrograms",20 MCG,0.162,20.000,,,,,,,,
J2373,"Inj, immphentiv, 20 mcg",20 MCG,0.124,20.000,,,,,,,,
J2401,Chloroprocaine hcl injection,1 MG,0.042,20.000,,,,,,,,
J2403,"Chloroprocaine opht gel, 1mg",1 MG,0.721,20.000,,,,,,,,
J2404,"Inj, nicardipine 0.1 mg",0.1 MG,0.070,20.000,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.088,20.000,,,,,,,,
J2406,"Injection, oritavancin 10 mg",10 MG,47.409,20.000,,,,,,,,
J2407,"Injection, oritavancin",10 MG,29.727,19.897,,,,,,Inflation-adjusted coinsurance,,
J2425,Palifermin injection,50 MCG,38.690,15.381,,,,,,Inflation-adjusted coinsurance,,
J2426,"Inj, invega sustenna, 1 mg",1 MG,15.431,20.000,,,,,,,,
J2427,"Inj, invega hafyera/trinza",1MG,13.262,20.000,,,,,,,,
J2428,"Inj, erzofri, 1 mg",1 MG,15.873,20.000,,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,12.025,20.000,,,,,,,,
J2468,"Inj, palonosetron (posfrea)",25 MCG,55.230,20.000,,,,,,,,
J2469,Palonosetron hcl,25 MCG,0.574,20.000,,,,,,AMP-based payment limit,,
J2501,Paricalcitol,1 MCG,0.899,20.000,,,,,,,,
J2502,"Inj, pasireotide long acting",1 MG,616.708,14.170,,,,,,Inflation-adjusted coinsurance,,
J2506,Inj pegfilgrast ex bio 0.5mg,0.5 MG,143.233,20.000,,,,,,,,
J2507,Pegloticase injection,1 MG,3929.337,18.356,,,,,,Inflation-adjusted coinsurance,,
J2508,Pegunigalsidase alfa-iwxj,1 MG,225.665,20.000,,,,,,,,
J2516,Pentamidine non-comp unit,1 MG,0.160,20.000,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.637,20.000,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.218,20.000,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,72.997,20.000,,,,,,,,
J2550,Promethazine hcl injection,50 MG,3.639,20.000,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,24.769,20.000,,,,,,,,
J2562,Plerixafor injection,1 MG,28.489,20.000,,,,,,,,
J2596,Vasopressin (long grove) 1 u,1 UNIT,1.134,20.000,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,3.562,20.000,,,,,,,,
J2598,"Inj, vasopressin, 1 unit",1 UNIT,0.490,20.000,,,,,,,,
J2599,Inj vasopressin (am reg) 1 u,1 UNIT,0.834,20.000,,,,,,,,
J2601,"Inj, vasopressin (baxter)",1 UNIT,1.753,20.000,,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,0.559,20.000,,,,,,,,
J2679,Inj fluphenazine hcl 1.25 mg,1.25 MG,7.268,20.000,,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,5.781,20.000,,,,,,,,
J2690,Procainamide hcl injection,1 GM,295.361,20.000,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,0.763,20.000,,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.089,20.000,,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.768,20.000,,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.071,20.000,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,288.625,20.000,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,1.004,20.000,,,,,,,,
J2777,"Inj, faricimab-svoa, 0.1mg",0.1 MG,32.381,20.000,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,51.090,20.000,,,,,,,,
J2779,"Inj, susvimo 0.1 mg",0.1 MG,74.795,20.000,,,,,,,,
J2781,"Inj, pegcetacoplan, 1mg",1 MG,148.944,20.000,,,,,,,,
J2782,Inj avacincaptad pegol 0.1mg,0.1 MG,103.203,20.000,,,,,,,,
J2783,Rasburicase,0.5 MG,387.453,20.000,,,,,,,,
J2785,Regadenoson injection,0.1 MG,2.790,20.000,,,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,11.729,20.000,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.542,20.000,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),85.125,20.000,,,,,,,,
J2791,Rhophylac injection,100 IU,4.878,20.000,,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,35.791,20.000,,,,,,,,
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,11.105,20.000,,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.039,20.000,,,,,,,,
J2798,"Inj., perseris, 0.5 mg",0.5 mg,12.204,20.000,,,,,,,,
J2799,"Inj, uzedy, 1 mg",1 MG,26.181,20.000,,,,,,,,
J2800,Methocarbamol injection,10 ML,4.509,20.000,,,,,,,,
J2802,"Inj, romiplostim 1 microgram",1 MCG,11.617,17.617,,,,,,Inflation-adjusted coinsurance,,
J2804,"Inj, rifampin, 1 mg",1 MG,0.172,20.000,,,,,,,,
J2805,Sincalide injection,5 MCG,110.462,20.000,,,,,,,,
J2820,Sargramostim injection,50 MCG,62.474,19.708,,,,,,Inflation-adjusted coinsurance,,
J2860,"Injection, siltuximab",10 MG,174.066,17.418,,,,,,Inflation-adjusted coinsurance,,
J2865,Inj sulfameth/trim 5 mg/1 mg,5MG-1MG,0.036,20.000,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.197,20.000,,,,,,,,
J2919,"Inj, methylpred sod succ 5mg",5 MG,0.224,20.000,,,,,,,,
J2997,Alteplase recombinant,1 MG,98.587,20.000,,,,,,,,
J3000,Streptomycin injection,1 GM,26.883,20.000,,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,1.385,20.000,,,,,,,,
J3032,Inj. eptinezumab-jjmr 1 mg,1 MG,21.101,18.389,,,,,,Inflation-adjusted coinsurance,,
J3055,Inj talquetamab-tgvs 0.25 mg,0.25 MG,76.721,18.661,,,,,,Inflation-adjusted coinsurance,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,42.675,20.000,,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,2.081,18.929,,,,,,Inflation-adjusted coinsurance,,
J3095,Telavancin injection,10 MG,7.484,20.000,,,,,,,,
J3101,Tenecteplase injection,1 MG,217.421,15.419,,,,,,Inflation-adjusted coinsurance,,
J3105,Terbutaline sulfate inj,1 MG,2.820,20.000,,,,,,,,
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,12.732,18.176,,,,,,Inflation-adjusted coinsurance,,
J3121,Inj testostero enanthate 1mg,1 MG,0.053,20.000,,,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,2.149,18.133,,,,,,Inflation-adjusted coinsurance,,
J3230,Chlorpromazine hcl injection,50 MG,18.143,20.000,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,2158.661,20.000,,,,,,,,
J3241,Inj. teprotumumab-trbw 10 mg,10 MG,379.900,20.000,,,,,,,,
J3243,Tigecycline injection,1 MG,0.517,20.000,,,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,124.273,20.000,,,,,,,,
J3246,Tirofiban hcl,0.25 MG,2.917,20.000,,,,,,,,
J3247,Inj secukinumab intrav 1mg,1 MG,18.233,20.000,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,62.935,20.000,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.186,20.000,,,,,,,,
J3262,Tocilizumab injection,1 MG,5.408,20.000,,,,,,,,
J3263,"Inj, toripalimab-tpzi, 1 mg",1 MG,40.893,20.000,,,,,,,,
J3285,Treprostinil injection,1 MG,54.740,20.000,,,,,,,,
J3299,Inj xipere 1 mg,1 MG,47.770,20.000,,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,19.186,5.038,,,,,,Inflation-adjusted coinsurance,,
J3301,Triamcinolone acet inj nos,10 MG,0.996,20.000,,,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,19.280,20.000,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,466.365,20.000,,,,,,,,
J3316,"Inj., triptorelin xr 3.75 mg",3.75 MG,3819.934,19.817,,,,,,Inflation-adjusted coinsurance,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,11.356,20.000,,,,,,,,
J3360,Diazepam injection,5 MG,6.854,20.000,,,,,,,,
J3373,"Inj, vancomycin hcl, 10 mg",10 MG,0.033,20.000,,,,,,,,
J3374,"Inj, vancomycin (mylan) 10mg",10 MG,0.097,20.000,,,,,,,,
J3375,Inj vancomycin (xellia) 10mg,10 MG,0.142,20.000,,,,,,,,
J3376,Inj vancomycin (hikma) 10mg,10 MG,0.017,20.000,,,,,,,,
J3379,"Inj, valproate sod, 5 mg",5 MG,0.014,20.000,,,,,,,,
J3380,Inj vedolizumab iv 1 mg,1 MG,21.622,20.000,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,392.843,20.000,,,,,,,,
J3396,Verteporfin injection,0.1 MG,11.374,20.000,,,,,,,,
J3401,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",0.1 ML,1032.437,20.000,,,,,,,,
J3402,Inj. remestemcel-l-rknd/ td,Per Therapeutic Dose,203659.763,20.000,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,15.209,20.000,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,1.596,20.000,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,12.941,20.000,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,0.683,20.000,,,,,,,,
J3425,Hydroxocobalamin im 10mcg,10 MCG,0.007,20.000,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,3.253,20.000,,,,,,,,
J3465,"Injection, voriconazole",10 MG,0.563,20.000,,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,31.764,20.000,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.364,20.000,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.446,20.000,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.136,20.000,,,,,,,,
J3485,Zidovudine,10 MG,1.513,20.000,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,5.602,20.000,,,,,,,,
J3489,Zoledronic acid 1mg,1 MG,3.361,20.000,,,,,,,,
J7030,Normal saline solution infus,1000 CC,2.181,20.000,,,,,,,,
J7040,Normal saline solution infus,500 ML,1.350,20.000,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.215,20.000,,,,,,,,
J7050,Normal saline solution infus,250 CC,0.703,20.000,,,,,,,,
J7060,5% dextrose/water,500 ML,1.649,20.000,,,,,,,,
J7070,D5w infusion,1000 CC,2.847,20.000,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.313,20.000,,,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,58.032,20.000,,,,,1,,,
J7171,"Inj, adzynma, 10 iu",10 UNITS,36.214,20.000,,,,,,,,
J7172,"Inj marstacim-hncq, 0.5 mg",0.5 MG,51.191,20.000,,,,,1,,,
J7173,"Inj. concizumab-mtci, 0.5 mg",0.5 MG,86.158,20.000,,,,,1,,,
J7174,Injection fitusiran 0.04 mg,0.04 MG,131.202,20.000,,,,,1,,,
J7175,"Inj, factor x, (human), 1iu",1 IU,9.953,20.000,,,,,1,,,
J7177,"Inj., fibryga, 1 mg",1 MG,1.233,20.000,,,,,1,,,
J7178,Inj human fibrinogen con nos,1 MG,1.488,20.000,,,,,1,,,
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.811,20.000,,,,,1,,,
J7180,Factor xiii anti-hem factor,1 IU,11.235,20.000,,,,,1,,,
J7181,Factor xiii recomb a-subunit,1 IU,19.114,20.000,,,,,1,,,
J7182,Factor viii recomb novoeight,1 IU,1.443,20.000,,,,,1,,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.326,20.000,,,,,1,,,
J7185,Xyntha inj,1 IU,1.371,20.000,,,,,1,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.269,20.000,,,,,1,,,
J7187,"Humate-p, inj",1 IU,1.535,20.000,,,,,1,,,
J7188,Factor viii recomb obizur,1 IU,3.236,20.000,,,,,1,,,
J7189,Factor viia recomb novoseven,1 MCG,2.772,20.000,,,,,1,,,
J7190,Factor viii,1 IU,1.246,20.000,,,,,1,,,
J7192,Factor viii recombinant nos,1 IU,1.580,20.000,,,,,1,,,
J7193,Factor ix non-recombinant,1 IU,1.403,20.000,,,,,1,,,
J7194,Factor ix complex,1 IU,1.747,20.000,,,,,1,,,
J7195,Factor ix recombinant nos,1 IU,1.864,20.000,,,,,1,,,
J7197,Antithrombin iii injection,1 IU,4.174,19.715,,,,,,Inflation-adjusted coinsurance,,
J7198,Anti-inhibitor,1 IU,2.447,20.000,,,,,1,,,
J7200,Factor ix recombinan rixubis,1 IU,1.717,20.000,,,,,1,,,
J7201,Factor ix alprolix recomb,1 IU,3.711,20.000,,,,,1,,,
J7202,Factor ix idelvion inj,1 IU,5.507,20.000,,,,,1,,,
J7203,Factor ix recomb gly rebinyn,1 IU,4.674,20.000,,,,,1,,,
J7204,Inj recombin esperoct per iu,1 IU,2.296,20.000,,,,,1,,,
J7205,Factor viii fc fusion recomb,1 IU,2.578,20.000,,,,,1,,,
J7207,Factor viii pegylated recomb,1 IU,2.119,20.000,,,,,1,,,
J7208,Inj. jivi 1 iu,1 IU,2.756,18.913,,,,,1,Inflation-adjusted coinsurance,,
J7209,Factor viii nuwiq recomb 1iu,1 IU,1.221,20.000,,,,,1,,,
J7210,"Inj, afstyla, 1 i.u.",1 IU,1.619,20.000,,,,,1,,,
J7211,"Inj, kovaltry, 1 i.u.",1 IU,1.595,19.832,,,,,1,Inflation-adjusted coinsurance,,
J7212,Factor viia recomb sevenfact,1 MCG,2.194,20.000,,,,,1,,,
J7213,"Inj, ixinity, 1 i.u.",1 IU,1.939,20.000,,,,,1,,,
J7214,Altuviiio per factor viii iu,1 IU,4.632,20.000,,,,,1,,,
J7308,Aminolevulinic acid hcl top,354 MG,389.280,20.000,,,,,,,,
J7311,"Inj., retisert, 0.01 mg",0.01 MG,338.804,20.000,,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,203.656,20.000,,,,,,,,
J7313,"Inj., iluvien, 0.01 mg",0.01 MG,516.406,20.000,,,,,,,,
J7318,"Inj, durolane 1 mg",1 MG,6.239,20.000,,,,,,,,
J7320,"Genvisc 850, inj, 1mg",1 MG,3.808,20.000,,,,,,,,
J7321,Hyalgan supartz visco-3 dose,per dose,70.282,20.000,,,,,,,,
J7322,Hymovis injection 1 mg,1 MG,18.131,20.000,,,,,,,,
J7323,Euflexxa inj per dose,per dose,98.137,20.000,,,,,,,,
J7324,Orthovisc inj per dose,PER DOSE,100.331,20.000,,,,,,,,
J7325,Synvisc or synvisc-one,1 MG,6.018,20.000,,,,,,,,
J7326,Gel-one,per dose,533.592,20.000,,,,,,,,
J7327,Monovisc inj per dose,PER DOSE,565.275,20.000,,,,,,,,
J7328,Gelsyn-3 injection 0.1 mg,0.1 MG,0.584,20.000,,,,,,,,
J7329,"Inj, trivisc 1 mg",1 MG,3.036,20.000,,,,,,,,
J7331,"Synojoynt, inj., 1 mg",1 MG,3.115,20.000,,,,,,,,
J7332,"Inj., triluron, 1 mg",1 MG,10.430,20.000,,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,3.509,20.000,,,,,,,,
J7340,Carbidopa levodopa ent 100ml,100 ML,244.497,20.000,,,,,,,,
J7345,"Aminolevulinic acid, 10% gel",10 MG,1.848,20.000,,,,,,,,
J7351,Inj bimatoprost itc imp1mcg,1 MCG,213.756,20.000,,,,,,,,
J7354,"Cantharidin top, applicator",Per 3.2 mg single-use applicator,695.208,20.000,,,,,,,,
J7355,Inj travoprost intra impl,1 MCG,196.746,20.000,,,,,,,,
